ID,COUNTY,NAME,STNAME,POPESTIMATE2015,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,WHITE,HISPANIC,BLACK,ASIAN,NATIVE,OTHER,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,00..10,10..15,15..25,25..35,35..50,50..75,75..100,100..150,150..200,200..999,LESS_THAN_HS,HS_DEGREE,SOME_COLLEGE,BS_DEGREE
0,0,Aalst,,77534,Aalst,77534,0.5,0.5,1,0,0,0,0,0,0.077148044,0.077148044,0.077148044,0.077148044,0.034086325,0.043565954,0.054659137,0.063533683,0.074626866,0.061113352,0.075837031,0.070794675,0.065752319,0.065147237,0.053448971,0.030859217,0.021581283,0.01956434,0.19,0.1145,0.3,0.2,0.1,0.055,0.0265,0.008,0.005,0.001,0.448164582,0.036506656,0.409035902,0.10629286
1,1,Aalter,,18802,Aalter,18802,0.5,0.5,1,0,0,0,0,0,0.077148044,0.077148044,0.077148044,0.077148044,0.034086325,0.043565954,0.054659137,0.063533683,0.074626866,0.061113352,0.075837031,0.070794675,0.065752319,0.065147237,0.053448971,0.030859217,0.021581283,0.01956434,0.19,0.1145,0.3,0.2,0.1,0.055,0.0265,0.008,0.005,0.001,0.448164582,0.036506656,0.409035902,0.10629286
2,2,Aarschot,,27656,Aarschot,27656,0.5,0.5,1,0,0,0,0,0,0.077148044,0.077148044,0.077148044,0.077148044,0.034086325,0.043565954,0.054659137,0.063533683,0.074626866,0.061113352,0.075837031,0.070794675,0.065752319,0.065147237,0.053448971,0.030859217,0.021581283,0.01956434,0.19,0.1145,0.3,0.2,0.1,0.055,0.0265,0.008,0.005,0.001,0.448164582,0.036506656,0.409035902,0.10629286
3,3,Aartselaar,,14193,Aartselaar,14193,0.5,0.5,1,0,0,0,0,0,0.077148044,0.077148044,0.077148044,0.077148044,0.034086325,0.043565954,0.054659137,0.063533683,0.074626866,0.061113352,0.075837031,0.070794675,0.065752319,0.065147237,0.053448971,0.030859217,0.021581283,0.01956434,0.19,0.1145,0.3,0.2,0.1,0.055,0.0265,0.008,0.005,0.001,0.448164582,0.036506656,0.409035902,0.10629286
4,4,Aiseau,,10906,Aiseau,10906,0.5,0.5,1,0,0,0,0,0,0.077148044,0.077148044,0.077148044,0.077148044,0.034086325,0.043565954,0.054659137,0.063533683,0.074626866,0.061113352,0.075837031,0.070794675,0.065752319,0.065147237,0.053448971,0.030859217,0.021581283,0.01956434,0.19,0.1145,0.3,0.2,0.1,0.055,0.0265,0.008,0.005,0.001,0.448164582,0.036506656,0.409035902,0.10629286
5,5,Alken,,10933,Alken,10933,0.5,0.5,1,0,0,0,0,0,0.077148044,0.077148044,0.077148044,0.077148044,0.034086325,0.043565954,0.054659137,0.063533683,0.074626866,0.061113352,0.075837031,0.070794675,0.065752319,0.065147237,0.053448971,0.030859217,0.021581283,0.01956434,0.19,0.1145,0.3,0.2,0.1,0.055,0.0265,0.008,0.005,0.001,0.448164582,0.036506656,0.409035902,0.10629286
6,6,Alveringem,,4910,Alveringem,4910,0.5,0.5,1,0,0,0,0,0,0.077148044,0.077148044,0.077148044,0.077148044,0.034086325,0.043565954,0.054659137,0.063533683,0.074626866,0.061113352,0.075837031,0.070794675,0.065752319,0.065147237,0.053448971,0.030859217,0.021581283,0.01956434,0.19,0.1145,0.3,0.2,0.1,0.055,0.0265,0.008,0.005,0.001,0.448164582,0.036506656,0.409035902,0.10629286
7,7,Amay,,13307,Amay,13307,0.5,0.5,1,0,0,0,0,0,0.077148044,0.077148044,0.077148044,0.077148044,0.034086325,0.043565954,0.054659137,0.063533683,0.074626866,0.061113352,0.075837031,0.070794675,0.065752319,0.065147237,0.053448971,0.030859217,0.021581283,0.01956434,0.19,0.1145,0.3,0.2,0.1,0.055,0.0265,0.008,0.005,0.001,0.448164582,0.036506656,0.409035902,0.10629286
8,8,Amblève,,5221,Amblève,5221,0.5,0.5,1,0,0,0,0,0,0.077148044,0.077148044,0.077148044,0.077148044,0.034086325,0.043565954,0.054659137,0.063533683,0.074626866,0.061113352,0.075837031,0.070794675,0.065752319,0.065147237,0.053448971,0.030859217,0.021581283,0.01956434,0.19,0.1145,0.3,0.2,0.1,0.055,0.0265,0.008,0.005,0.001,0.448164582,0.036506656,0.409035902,0.10629286
9,9,Andenne,,24055,Andenne,24055,0.5,0.5,1,0,0,0,0,0,0.077148044,0.077148044,0.077148044,0.077148044,0.034086325,0.043565954,0.054659137,0.063533683,0.074626866,0.061113352,0.075837031,0.070794675,0.065752319,0.065147237,0.053448971,0.030859217,0.021581283,0.01956434,0.19,0.1145,0.3,0.2,0.1,0.055,0.0265,0.008,0.005,0.001,0.448164582,0.036506656,0.409035902,0.10629286
10,10,Anderlues,,11597,Anderlues,11597,0.5,0.5,1,0,0,0,0,0,0.077148044,0.077148044,0.077148044,0.077148044,0.034086325,0.043565954,0.054659137,0.063533683,0.074626866,0.061113352,0.075837031,0.070794675,0.065752319,0.065147237,0.053448971,0.030859217,0.021581283,0.01956434,0.19,0.1145,0.3,0.2,0.1,0.055,0.0265,0.008,0.005,0.001,0.448164582,0.036506656,0.409035902,0.10629286
11,11,Anhée,,7125,Anhée,7125,0.5,0.5,1,0,0,0,0,0,0.077148044,0.077148044,0.077148044,0.077148044,0.034086325,0.043565954,0.054659137,0.063533683,0.074626866,0.061113352,0.075837031,0.070794675,0.065752319,0.065147237,0.053448971,0.030859217,0.021581283,0.01956434,0.19,0.1145,0.3,0.2,0.1,0.055,0.0265,0.008,0.005,0.001,0.448164582,0.036506656,0.409035902,0.10629286
